epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
172,401.716,0.55716,0.32026,0.85955,0.89358,0.91579,0.94991,0.70054,0.95173,0.57275,1.01978,0.000903671,0.000903671,0.000903671
173,403.889,0.54718,0.3244,0.87089,0.88336,0.95662,0.96088,0.72175,0.9341,0.53784,1.01556,0.000894484,0.000894484,0.000894484
174,406.124,0.5344,0.31968,0.86028,0.8997,0.93684,0.95563,0.73498,0.91719,0.52979,1.01026,0.00088532,0.00088532,0.00088532
175,408.692,0.5587,0.3167,0.86252,0.8997,0.93684,0.95563,0.73498,0.91719,0.52979,1.01026,0.000876179,0.000876179,0.000876179
176,410.875,0.51359,0.30538,0.85642,0.87491,0.95713,0.95909,0.75043,0.90809,0.5145,1.00686,0.000867063,0.000867063,0.000867063
177,413.455,0.51573,0.30813,0.85359,0.87491,0.95713,0.95909,0.75043,0.90809,0.5145,1.00686,0.000857972,0.000857972,0.000857972
178,415.669,0.56382,0.32629,0.86765,0.92347,0.88913,0.96297,0.73396,0.95263,0.52761,1.01595,0.000848908,0.000848908,0.000848908
179,418.236,0.54734,0.33584,0.85207,0.92665,0.88421,0.96043,0.7443,0.90459,0.53605,0.99737,0.000839871,0.000839871,0.000839871
180,420.446,0.52287,0.30961,0.84501,0.92665,0.88421,0.96043,0.7443,0.90459,0.53605,0.99737,0.000830863,0.000830863,0.000830863
181,422.619,0.53815,0.31492,0.84261,0.94249,0.93684,0.9672,0.75055,0.89409,0.5063,0.99498,0.000821885,0.000821885,0.000821885
182,425.149,0.52747,0.3222,0.85322,0.94249,0.93684,0.9672,0.75055,0.89409,0.5063,0.99498,0.000812937,0.000812937,0.000812937
183,427.352,0.51806,0.31337,0.84034,0.90941,0.95107,0.9716,0.75911,0.85363,0.47964,0.98124,0.00080402,0.00080402,0.00080402
